fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
2057,3,Alexandr Romanov,0,0,0,---,1,1,0,1,0%,0,0,0:03,0,0,0,0,0,0,0,0,0,0,0,0
2057,3,Juan Espino,0,2,3,66%,3,4,2,2,100%,0,0,0:42,1,2,1,1,0,0,1,2,1,1,0,0
2058,1,Jessica Penne,0,15,40,37%,27,55,1,1,100%,0,0,1:43,10,30,5,10,0,0,13,36,2,4,0,0
2058,1,Loopy Godinez,0,13,31,41%,22,41,2,4,50%,0,0,0:38,10,27,3,3,0,1,11,27,2,2,0,2
2058,2,Jessica Penne,0,13,30,43%,24,42,0,1,0%,0,0,1:49,7,20,6,10,0,0,13,29,0,1,0,0
2058,2,Loopy Godinez,0,17,24,70%,26,33,1,3,33%,0,0,1:06,14,20,2,3,1,1,17,24,0,0,0,0
2058,3,Jessica Penne,0,3,17,17%,47,61,0,5,0%,0,0,0:58,2,13,1,4,0,0,3,17,0,0,0,0
2058,3,Loopy Godinez,0,10,19,52%,20,32,0,2,0%,0,0,2:26,7,16,2,2,1,1,9,17,1,2,0,0
2059,1,Bartosz Fabinski,0,6,13,46%,16,23,1,1,100%,0,0,0:13,2,9,4,4,0,0,2,9,4,4,0,0
2059,1,Gerald Meerschaert,0,8,10,80%,12,14,0,0,---,1,1,1:26,7,9,1,1,0,0,5,7,3,3,0,0
2060,1,Austin Hubbard,0,34,65,52%,34,65,1,1,100%,0,0,0:02,11,38,4,6,19,21,32,63,2,2,0,0
2060,1,Dakota Bush,0,30,73,41%,30,73,0,0,---,0,0,0:00,10,37,4,15,16,21,30,73,0,0,0,0
2060,2,Austin Hubbard,0,13,22,59%,30,42,0,0,---,0,0,3:21,7,16,3,3,3,3,8,15,0,0,5,7
2060,2,Dakota Bush,0,7,15,46%,16,26,0,2,0%,0,0,0:33,3,8,2,4,2,3,7,15,0,0,0,0
2060,3,Austin Hubbard,0,20,28,71%,62,74,0,0,---,0,2,3:19,14,22,3,3,3,3,9,13,0,1,11,14
2060,3,Dakota Bush,0,4,16,25%,8,23,1,4,25%,0,1,0:58,4,14,0,1,0,1,4,16,0,0,0,0
2061,1,Tony Gravely,1,32,65,49%,50,88,3,5,60%,0,0,3:20,27,59,3,3,2,3,12,27,1,3,19,35
