fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
3775,1,Hacran Dias,0,21,58,36%,22,59,0,2,0%,0,0,0:00,18,53,1,3,2,2,21,57,0,1,0,0
3775,1,Jared Gordon,0,14,55,25%,18,61,1,1,100%,0,0,0:34,10,48,4,7,0,0,13,54,1,1,0,0
3775,2,Hacran Dias,0,3,22,13%,8,27,0,1,0%,0,0,0:30,3,22,0,0,0,0,3,21,0,1,0,0
3775,2,Jared Gordon,0,56,99,56%,77,129,1,2,50%,0,0,2:37,52,93,4,6,0,0,7,28,9,13,40,58
3775,3,Hacran Dias,0,8,26,30%,11,29,0,0,---,1,0,0:07,7,23,1,3,0,0,7,25,1,1,0,0
3775,3,Jared Gordon,0,31,56,55%,68,95,0,4,0%,0,0,2:54,30,50,1,6,0,0,9,30,1,1,21,25
3776,1,Elizeu Zaleski dos Santos,0,41,84,48%,45,88,0,1,0%,0,0,0:32,29,69,9,11,3,4,15,41,17,26,9,17
3776,1,Max Griffin,1,19,53,35%,26,60,0,1,0%,0,0,0:39,16,48,2,4,1,1,14,41,1,6,4,6
3776,2,Elizeu Zaleski dos Santos,0,15,37,40%,17,39,0,3,0%,0,0,0:31,11,29,3,7,1,1,10,30,5,7,0,0
3776,2,Max Griffin,1,20,43,46%,22,46,0,0,---,0,0,0:28,18,36,2,7,0,0,11,29,7,12,2,2
3776,3,Elizeu Zaleski dos Santos,0,28,55,50%,32,59,0,1,0%,0,0,1:29,16,39,7,10,5,6,17,41,11,14,0,0
3776,3,Max Griffin,0,12,37,32%,13,38,0,0,---,0,0,0:01,7,26,4,9,1,2,7,30,5,7,0,0
3777,1,Deiveson Figueiredo,0,5,12,41%,7,15,0,1,0%,0,0,0:29,0,4,5,8,0,0,0,6,5,6,0,0
3777,1,Jarred Brooks,0,16,25,64%,42,56,2,3,66%,0,0,2:41,13,20,3,4,0,1,0,5,5,6,11,14
