fight_id,fighter1,fighter2,result,bout,method,round,time,format,ref
4601,Diego Brandao,Brian Ortega,Brian Ortega,Featherweight Bout,Submission,3,1:37,3 Rnd (5-5-5),John McCarthy
4602,Abel Trujillo,Tony Sims,Abel Trujillo,Lightweight Bout,Submission,1,3:18,3 Rnd (5-5-5),Herb Dean
4603,Michael McDonald,Masanori Kanehara,Michael McDonald,Bantamweight Bout,Submission,2,2:09,3 Rnd (5-5-5),Mario Yamasaki
4604,Kyle Noke,Alex Morono,Alex Morono,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),John McCarthy
4605,Justine Kish,Nina Nunes,Justine Kish,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni
4606,Scott Holtzman,Drew Dober,Drew Dober,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean
4607,Dustin Poirier,Joe Duffy,Dustin Poirier,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni
4608,Joe Soto,Michinori Tanaka,Michinori Tanaka,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki
4609,Sheldon Westcott,Edgar Garcia,Sheldon Westcott,Welterweight Bout,KO/TKO,1,3:12,3 Rnd (5-5-5),Chris Tognoni
4610,Rafael Dos Anjos,Donald Cerrone,Rafael Dos Anjos,UFC Lightweight Title Bout,KO/TKO,1,1:06,5 Rnd (5-5-5-5-5),Herb Dean
4611,Junior Dos Santos,Alistair Overeem,Alistair Overeem,Heavyweight Bout,KO/TKO,2,4:43,3 Rnd (5-5-5),Dan Miragliotta
4612,Michael Johnson,Nate Diaz,Nate Diaz,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jorge Alonso
4613,Randa Markos,Karolina Kowalkiewicz,Karolina Kowalkiewicz,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean
4614,Charles Oliveira,Myles Jury,Charles Oliveira,Featherweight Bout,Submission,1,3:05,3 Rnd (5-5-5),John Hosegood
